2021-07-17T16:46:31,650 [-] [Framework Event Dispatcher: Equinox Container: 81e1f107-56cf-4613-a553-dcdc32c04e6f]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2021-07-17T16:46:31,657 [-] [Framework Event Dispatcher: Equinox Container: 81e1f107-56cf-4613-a553-dcdc32c04e6f]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2021-07-17T16:46:31,659 [-] [Framework Event Dispatcher: Equinox Container: 81e1f107-56cf-4613-a553-dcdc32c04e6f]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2021-07-17T16:49:51,584 [-] [Framework Event Dispatcher: Equinox Container: 103b80d4-7de7-4b2d-adf6-6488c4119f96]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2021-07-17T16:49:51,591 [-] [Framework Event Dispatcher: Equinox Container: 103b80d4-7de7-4b2d-adf6-6488c4119f96]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2021-07-17T16:49:51,592 [-] [Framework Event Dispatcher: Equinox Container: 103b80d4-7de7-4b2d-adf6-6488c4119f96]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2021-07-17T17:07:36,136 [-] [PassThroughMessageProcessor-1]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /publisher, HEALTH CHECK URL = /publisher
2021-07-17T17:08:02,850 [-] [PassThroughMessageProcessor-2]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /, HEALTH CHECK URL = /
2021-07-17T17:08:12,562 [-] [PassThroughMessageProcessor-4]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /info, HEALTH CHECK URL = /info
2021-07-17T17:08:20,575 [-] [PassThroughMessageProcessor-5]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /devportal, HEALTH CHECK URL = /devportal
2021-07-17T17:09:15,331 [-] [PassThroughMessageProcessor-6]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /applications, HEALTH CHECK URL = /applications
2021-07-17T17:09:20,991 [-] [PassThroughMessageProcessor-7]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /, HEALTH CHECK URL = /
2021-07-17T17:14:13,955 [-] [PassThroughMessageProcessor-9]  INFO __SynapseService STATUS = Message dispatched to the main sequence. Invalid URL., RESOURCE = /admin, HEALTH CHECK URL = /admin
2021-07-17T17:56:01,833 [-] [Framework Event Dispatcher: Equinox Container: 2554a7f8-3e06-4d1e-9859-0485850f4956]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2021-07-17T17:56:01,857 [-] [Framework Event Dispatcher: Equinox Container: 2554a7f8-3e06-4d1e-9859-0485850f4956]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2021-07-17T17:56:01,862 [-] [Framework Event Dispatcher: Equinox Container: 2554a7f8-3e06-4d1e-9859-0485850f4956]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2021-07-17T18:34:04,166 [-] [Framework Event Dispatcher: Equinox Container: 76fb6de1-44a8-419c-9cdb-09e56ec9fa1d]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2021-07-17T18:34:04,178 [-] [Framework Event Dispatcher: Equinox Container: 76fb6de1-44a8-419c-9cdb-09e56ec9fa1d]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
2021-07-17T18:34:04,182 [-] [Framework Event Dispatcher: Equinox Container: 76fb6de1-44a8-419c-9cdb-09e56ec9fa1d]  INFO WorkflowCallbackService Successfully created the Axis2 service for Proxy service : WorkflowCallbackService
2021-07-17T18:40:07,747 [-] [Framework Event Dispatcher: Equinox Container: 0277ba9a-7afc-4d22-8173-3cc8b5ae40d7]  INFO WorkflowCallbackService Building Axis service for Proxy service : WorkflowCallbackService
2021-07-17T18:40:07,758 [-] [Framework Event Dispatcher: Equinox Container: 0277ba9a-7afc-4d22-8173-3cc8b5ae40d7]  INFO WorkflowCallbackService Adding service WorkflowCallbackService to the Axis2 configuration
